CLEARANCE_DISPLAY_ID,Item_Number
34541115,130854304
34541124,130848999
34541134,130849008
34541135,130859293
34541154,130859314
34541155,130859260
34541163,130859315
34541180,130859272
34541181,130859471
34541188,130859317
34541198,130859466
34541199,130873941
34541204,130873912
34541210,130878800
34541211,130903753
34541216,130914180
34541217,130914182
34541223,130928825
34541228,130933829
34541229,130948849
34541234,130988722
34541240,131039378
34541241,131039377
34541254,131039375
34541272,131069469
34541273,131083903
34541280,131083893
34541281,131089279
34541293,131098774
34541296,131098773
34541297,131119934
34541299,131120156
34541300,131120676
34541301,131120657
34541312,131120687
34541316,131120671
34541317,131120685
34541318,131121028
34541319,131121186
34541050,118986103
34541051,119463388
34541063,120485964
34541064,120724698
34541065,120734582
34541948,131609153
34541949,131609142
34541958,131649037
34541959,131649029
34541964,131649030
34541965,131739087
34541970,131739101
34541971,131739100
34541974,131739102
34541975,131784442
34541978,131819156
34541979,131819163
34541984,131969092
34541985,132163837
34541988,132177038
34541989,132177091
34541992,132185932
34541993,132200078
34541995,132259033
34541996,132292100
34541997,132318825
34542001,132340739
34542004,132340807
34542005,132361167
34542010,132370351
34542024,132370346
34542025,132370341
34542030,132370340
34542031,132484342
34542035,132513423
34542040,132576817
34542041,132607391
34542047,132676493
34542054,132711786
34560127,132186434
34560140,132186443
34560151,132244468
34560163,132266342
34560540,132267249
34548042,121108530
34548067,121873447
34548114,121998771
34548126,123665142
34548147,123868546
34548171,123868577
34548206,124565013
34548225,124597182
34548251,124678713
34548425,127463912
34548445,127463868
34548490,127463787
34548505,127819390
34548523,127884925
34548534,128802990
34548549,128807684
34548577,128815954
34548598,128940632
34548617,129084214
34548631,130499819
34548670,131323732
34548675,131863792
34548691,132178085
34548718,121833990
34548752,122553460
34548807,126544343
34548842,127223833
34548846,127463945
34548966,127322523
34549046,127323550
34549065,127324536
34549092,127324588
34549104,127454561
34549117,127483789
34550261,126818537
34550288,126965060
34550295,126989267
34550319,126991183
34550346,127033623
34550359,127059042
34550369,127130118
34550394,127186372
34550411,127203629
34550427,127214162
34550444,127238545
34550465,127253769
34550483,127320668
34550508,127370142
34550535,127373598
34550627,127373604
34550702,127379934
34550733,127381688
34550810,127438309
34550848,127448562
34550863,127485787
34550920,127485822
34550958,127485774
34551003,127516762
34551056,127517999
34541396,131286769
34541397,131299051
34541398,131299048
34541399,131299056
34541406,131308760
34541407,131313880
34541414,131334664
34541415,131353720
34541424,131353721
34541425,131353822
34541430,131393712
34541431,131414003
34541438,131414012
34541439,131449376
34544200,127116158
34544201,127223836
34544210,127285821
34544211,127285046
34544219,127358844
34544226,127358911
34544227,127393613
34544238,127395930
34544246,127395971
34544247,127395957
34544254,127463823
34544256,127463790
34544257,127539272
34544266,128802975
34544267,128807698
34544279,128807707
34544282,128910758
34544283,128964586
34544288,128964579
34544290,129071005
34544291,129071015
34544298,127489003
34544299,127893816
34544312,127998599
34544313,128513620
34544318,128797869
34544319,128815237
34544328,128862421
34544329,128946997
34544336,128990402
34544337,128990399
34544346,129173688
34544347,129199303
34544354,130520819
34544355,130520810
34544364,130520814
34544365,130854170
34544374,131508918
34544375,101083172
34544335,126728565
34544339,126728645
34544342,126728531
34544343,126728638
34544348,127116931
34544352,127134357
34544353,127178548
34544358,127239812
34544359,127239791
34544361,127287111
34544366,127323614
34544367,127323604
34544369,127324604
34544372,127324467
34544373,127403545
