Item_Number,Zone,Pcid
100000845,114,36028798
100000845,99,36028783
100000846,100,36028864
100000846,101,36028865
100000846,102,36028866
100000846,103,36028867
100000846,104,36028868
100000846,105,36028869
100000846,106,36028870
100000846,107,36028871
100000846,108,36028872
100000846,109,36028873
100000846,110,36028874
100000846,111,36028875
100000846,112,36028876
100000846,113,36028877
100000846,114,36028878
100000846,99,36028863
100000851,100,36028848
100000851,101,36028849
100000851,102,36028850
100000851,103,36028851
100000851,104,36028852
100000851,105,36028853
100000851,106,36028854
100000851,107,36028855
100000851,108,36028856
100000851,109,36028857
100000851,110,36028858
100000851,111,36028859
100000851,112,36028860
100000851,113,36028861
100000851,114,36028862
100000851,99,36028847
100000854,100,36028912
100000854,101,36028913
100000854,102,36028914
100000854,103,36028915
100000854,104,36028916
100000854,105,36028917
100000854,106,36028918
100000854,107,36028919
100000854,108,36028920
100000854,109,36028921
100000854,110,36028922
100000854,111,36028923
100000854,112,36028924
100000854,113,36028925
100000854,114,36028926
100000854,99,36028911
100000912,100,36028944
100000912,101,36028945
100000912,102,36028946
100000912,103,36028947
100000912,104,36028948
100000912,105,36028949
100000912,106,36028950
100000912,107,36028951
100000912,108,36028952
100000912,109,36028953
100000912,110,36028954
100000912,111,36028955
100000912,112,36028956
100000912,113,36028957
100000912,114,36028958
100000912,99,36028943
100000927,100,36029056
100000927,101,36029057
100000927,102,36029058
100000927,103,36029059
100000927,104,36029060
100000927,105,36029061
100000927,106,36029062
100000927,107,36029063
100000927,108,36029064
100000927,109,36029065
100000927,110,36029066
100000927,111,36029067
100000927,112,36029068
100000927,113,36029069
100000927,114,36029070
100000927,99,36029055
100000943,100,36036592
100000943,101,36036593
100000943,102,36036594
100000943,103,36036595
100000943,104,36036596
100000943,105,36036597
100000943,106,36036598
100000943,107,36036599
100000943,108,36036600
100000943,109,36036601
100000943,110,36036602
100000943,111,36036603
100000943,112,36036604
100000943,113,36036605
100000943,114,36036606
100000943,99,36036591
100000977,100,36029152
100000977,101,36029153
100000977,102,36029154
100000977,103,36029155
100000977,104,36029156
100000977,105,36029157
100000977,106,36029158
100000977,107,36029159
100000977,108,36029160
100000977,109,36029161
100000977,110,36029162
100000977,111,36029163
100000977,112,36029164
100000977,113,36029165
100000977,114,36029166
100000977,99,36029151
100000993,100,36029216
100000993,101,36029217
100000993,102,36029218
100000993,103,36029219
100000993,104,36029220
100000993,105,36029221
100000993,106,36029222
100000993,107,36029223
100000993,108,36029224
100000993,109,36029225
100000993,110,36029226
100000993,111,36029227
100000993,112,36029228
100000993,113,36029229
100000993,114,36029230
100000993,99,36029215
100000998,100,36029280
100000998,101,36029281
100000998,102,36029282
100000998,103,36029283
100000998,104,36029284
100000998,105,36029285
100000998,106,36029286
100000998,107,36029287
100000998,108,36029288
100000998,109,36029289
100000998,110,36029290
100000998,111,36029291
100000998,112,36029292
100000998,113,36029293
100000998,114,36029294
100000998,99,36029279
100000999,100,36029232
100000999,101,36029233
100000999,102,36029234
100000999,103,36029235
100000999,104,36029236
100000999,105,36029237
100000999,106,36029238
100000999,107,36029239
100000999,108,36029240
100000999,109,36029241
100000999,110,36029242
100000999,111,36029243
100000999,112,36029244
100000999,113,36029245
100000999,114,36029246
100000999,99,36029231
100001017,100,36029296
100001017,101,36029297
100001017,102,36029298
100001017,103,36029299
100001017,104,36029300
100001017,105,36029301
100001017,106,36029302
100001017,107,36029303
100001017,108,36029304
100001017,109,36029305
100001017,110,36029306
100001017,111,36029307
100001017,112,36029308
100001017,113,36029309
100001017,114,36029310
100001017,99,36029295
100001018,100,36029264
100001018,101,36029265
100001018,102,36029266
100001018,103,36029267
100001018,104,36029268
100001018,105,36029269
100001018,106,36029270
100001018,107,36029271
100001018,108,36029272
100001018,109,36029273
100001018,110,36029274
100001018,111,36029275
100001018,112,36029276
100001018,113,36029277
100001018,114,36029278
100001018,99,36029263
100001045,100,36036896
100001045,101,36036897
100001045,102,36036898
100001045,103,36036899
100001045,104,36036900
100001045,105,36036901
100001045,106,36036902
100001045,107,36036903
100001045,108,36036904
100001045,109,36036905
100001045,110,36036906
100001045,111,36036907
100001045,112,36036908
100001045,113,36036909
100001045,114,36036910
100001045,99,36036895
100001067,100,36029440
100001067,101,36029441
100001067,102,36029442
100001067,103,36029443
100001067,104,36029444
100001067,105,36029445
100001067,106,36029446
100001067,107,36029447
100001067,108,36029448
100001067,109,36029449
100001067,110,36029450
100001067,111,36029451
100001067,112,36029452
100001067,113,36029453
100001067,114,36029454
100001067,99,36029439
100001071,100,36029488
100001071,101,36029489
100001071,102,36029490
100001071,103,36029491
100001071,104,36029492
100001071,105,36029493
100001071,106,36029494
100001071,107,36029495
100001071,108,36029496
100001071,109,36029497
100001071,110,36029498
100001071,111,36029499
100001071,112,36029500
100001071,113,36029501
100001071,114,36029502
100001071,99,36029487
100001110,100,36037056
